Date,Open,High,Low,Close,Adj Close,Volume
1983-01-03,140.65,141.33,138.2,138.34,138.34,59080000
1983-01-04,138.33,141.36,138.08,141.36,141.36,75530000
1983-01-05,141.35,142.6,141.15,141.96,141.96,95390000
1983-01-06,142.01,145.77,142.01,145.27,145.27,129410000
1983-01-07,145.27,146.46,145.15,145.18,145.18,127290000
1983-01-10,145.19,147.25,144.58,146.78,146.78,101890000
1983-01-11,146.79,146.83,145.38,145.78,145.78,98250000
1983-01-12,145.76,148.36,145.76,146.69,146.69,109850000
1983-01-13,146.67,146.94,145.67,145.73,145.73,77030000
1983-01-14,145.72,147.12,145.72,146.65,146.65,86480000
1983-01-17,146.65,147.9,146.64,146.72,146.72,89210000
1983-01-18,146.71,146.74,145.52,146.4,146.4,78380000
1983-01-19,146.4,146.45,144.51,145.27,145.27,80900000
1983-01-20,145.29,146.62,145.29,146.29,146.29,82790000
1983-01-21,146.3,146.3,143.25,143.85,143.85,77110000
1983-01-24,143.84,143.84,139.1,139.97,139.97,90800000
1983-01-25,139.98,141.75,139.98,141.75,141.75,79740000
1983-01-26,141.77,142.16,141.16,141.54,141.54,73720000
1983-01-27,141.54,144.3,141.54,144.27,144.27,88120000
1983-01-28,144.31,145.47,144.25,144.51,144.51,89490000
1983-01-31,144.51,145.3,143.93,145.3,145.3,67140000
1983-02-01,145.29,145.29,142.96,142.96,142.96,82750000
1983-02-02,142.95,143.52,141.9,143.23,143.23,77220000
1983-02-03,143.25,144.43,143.25,144.26,144.26,78890000
1983-02-04,144.26,146.14,144.14,146.14,146.14,87000000
1983-02-07,146.14,147.42,146.14,146.93,146.93,86030000
1983-02-08,146.93,147.21,145.52,145.7,145.7,76580000
1983-02-09,145.7,145.83,144.09,145.0,145.0,84520000
1983-02-10,145.04,147.75,145.04,147.5,147.5,93510000
1983-02-11,147.51,148.81,147.18,147.65,147.65,86700000
1983-02-14,147.71,149.14,147.4,148.93,148.93,72640000
1983-02-15,148.94,149.41,148.13,148.3,148.3,89040000
1983-02-16,148.31,148.66,147.41,147.43,147.43,82100000
1983-02-17,147.43,147.57,143.84,147.44,147.44,74930000
1983-02-18,147.44,148.29,147.21,148.0,148.0,77420000
1983-02-22,148.01,148.11,145.42,145.48,145.48,84080000
1983-02-23,145.47,146.79,145.4,146.79,146.79,84100000
1983-02-24,146.8,149.67,146.8,149.6,149.6,113220000
1983-02-25,149.6,150.88,149.6,149.74,149.74,100970000
1983-02-28,149.74,149.74,147.81,148.06,148.06,83750000
1983-03-01,148.07,150.88,148.07,150.88,150.88,103750000
1983-03-02,150.91,152.63,150.91,152.3,152.3,112600000
1983-03-03,152.31,154.16,152.31,153.48,153.48,114440000
1983-03-04,153.47,153.67,152.53,153.67,153.67,90930000
1983-03-07,153.67,154.0,152.65,153.67,153.67,84020000
1983-03-08,153.63,153.63,151.26,151.26,151.26,79410000
